team,top11_sum,top11_avg,rows,n_players_used,top_n_players_used
Manchester City,56.337,5.12154620369146,1145,31,11
Liverpool,55.069,5.00631449626328,1331,36,11
Brighton & Hove Albion,53.458,4.859859057986356,1295,41,11
Arsenal,53.003,4.81842636621764,1230,38,11
Newcastle United,51.908,4.718953377375658,1229,36,11
